,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,143.0,1101,台泥,16307,15967,1252.0,1221.0,,,,,,,,,,,False
2022-12-12,,1101,台泥,15909,15341,1330.0,1376.0,239.0,801.0,6.0,1789045.0,24.0,71.0,1.0,1789045.0,, ,False
2022-12-13,,1101,台泥,14893,15054,1375.0,1089.0,471.0,305.0,5.0,1789045.0,283.0,3.0,6.0,1789045.0,11.0, ,False
2022-12-14,,1101,台泥,15054,14955,1089.0,1036.0,430.0,520.0,9.0,1789045.0,53.0,6.0,6.0,1789045.0,, ,False
2022-12-15,,1101,台泥,14955,14940,1036.0,1677.0,169.0,183.0,1.0,1789045.0,20.0,661.0,,1789045.0,, ,False
2022-12-18,,1101,台泥,14940,14841,1677.0,4170.0,342.0,421.0,20.0,1789045.0,133.0,2631.0,5.0,1789045.0,4.0, ,False
2022-12-19,,1101,台泥,14841,15109,4170.0,1351.0,854.0,586.0,,1789045.0,2823.0,4.0,,1789045.0,1.0, ,False
2022-12-20,,1101,台泥,15109,13822,1351.0,982.0,213.0,1500.0,,1789045.0,273.0,9.0,105.0,1789045.0,4.0, ,False
2022-12-21,,1101,台泥,13822,13498,982.0,732.0,371.0,667.0,28.0,1789045.0,28.0,11.0,233.0,1789045.0,1.0, ,False
2022-12-23,,1101,台泥,13471,13965,710.0,688.0,941.0,440.0,7.0,1789045.0,20.0,4.0,6.0,1789045.0,7.0, ,False
2022-12-26,,1101,台泥,13965,13387,688.0,696.0,208.0,782.0,4.0,1789045.0,1.0,10.0,1.0,1789045.0,, ,False
2022-12-27,,1101,台泥,13387,13200,696.0,705.0,356.0,542.0,1.0,1789045.0,5.0,14.0,,1789045.0,2.0, ,False
2022-12-28,,1101,台泥,13200,12565,705.0,710.0,207.0,839.0,3.0,1789045.0,4.0,9.0,,1789045.0,, ,False
2022-12-29,,1101,台泥,12565,13049,710.0,719.0,845.0,361.0,,1789045.0,35.0,44.0,,1789045.0,, ,False
2022-12-30,,1101,台泥,13049,12903,719.0,721.0,136.0,278.0,4.0,1789045.0,3.0,5.0,,1789045.0,, ,False
2023-01-03,,1101,台泥,12903,12995,721.0,735.0,268.0,176.0,,1789045.0,19.0,33.0,,1789045.0,, ,
2023-01-04,,1101,台泥,12995,13272,735.0,737.0,378.0,94.0,7.0,1789045.0,6.0,9.0,1.0,1789045.0,, ,
2023-01-05,,1101,台泥,13272,12560,737.0,720.0,1038.0,1727.0,23.0,1789045.0,35.0,23.0,5.0,1789045.0,7.0, ,
2023-01-06,,1101,台泥,12560,12575,720.0,698.0,508.0,488.0,5.0,1789045.0,16.0,4.0,10.0,1789045.0,, ,
2023-01-10,,1101,台泥,12012,11747,476.0,452.0,87.0,351.0,1.0,1789045.0,30.0,6.0,,1789045.0,, ,
2023-01-11,,1101,台泥,11747,11442,452.0,456.0,323.0,605.0,23.0,1789045.0,,4.0,,1789045.0,, ,
2023-01-12,,1101,台泥,11442,11408,456.0,478.0,882.0,908.0,8.0,1789045.0,19.0,41.0,,1789045.0,7.0, ,
2023-01-14,,1101,台泥,11408,12035,478.0,605.0,1708.0,1074.0,7.0,1789045.0,4.0,131.0,,1789045.0,25.0, ,
2023-01-16,,1101,台泥,12035,11433,605.0,693.0,532.0,1131.0,3.0,1789045.0,14.0,112.0,10.0,1789045.0,2.0, ,
2023-01-18,,1101,台泥,11433,11150,693.0,652.0,490.0,741.0,32.0,1789045.0,60.0,23.0,4.0,1789045.0,1.0, ,
2023-02-01,,1101,台泥,10602,10328,699.0,697.0,176.0,445.0,5.0,1789045.0,13.0,18.0,7.0,1789045.0,, ,
2023-02-02,,1101,台泥,10602,10328,699.0,697.0,176.0,445.0,5.0,1789045.0,13.0,18.0,7.0,1789045.0,, ,
2023-02-03,,1101,台泥,10189,10288,687.0,699.0,257.0,157.0,1.0,1789045.0,11.0,25.0,2.0,1789045.0,1.0, ,
2023-02-04,,1101,台泥,10189,10288,687.0,699.0,257.0,157.0,1.0,1789045.0,11.0,25.0,2.0,1789045.0,1.0, ,
2023-02-06,,1101,台泥,10288,10092,699.0,714.0,327.0,521.0,2.0,1789045.0,11.0,26.0,,1789045.0,1.0, ,
2023-02-07,,1101,台泥,10092,9908,714.0,707.0,318.0,403.0,99.0,1789045.0,21.0,14.0,,1789045.0,3.0, ,
2023-02-08,,1101,台泥,9908,9842,707.0,717.0,304.0,366.0,4.0,1789045.0,,12.0,2.0,1789045.0,, ,
2023-02-09,,1101,台泥,9842,9742,717.0,702.0,192.0,275.0,17.0,1789045.0,15.0,6.0,6.0,1789045.0,, ,
2023-02-10,,1101,台泥,9742,9825,702.0,710.0,492.0,407.0,2.0,1789045.0,12.0,24.0,4.0,1789045.0,, ,
2023-02-11,,1101,台泥,9742,9825,702.0,710.0,492.0,407.0,2.0,1789045.0,12.0,24.0,4.0,1789045.0,, ,
2023-02-13,,1101,台泥,9825,9763,710.0,736.0,234.0,296.0,,1789045.0,,26.0,,1789045.0,3.0, ,
2023-02-14,,1101,台泥,9763,9516,736.0,790.0,418.0,665.0,,1789045.0,22.0,76.0,,1789045.0,, ,
2023-02-15,,1101,台泥,9516,9473,790.0,810.0,406.0,438.0,11.0,1789045.0,11.0,31.0,,1789045.0,3.0, ,
2023-02-16,,1101,台泥,9473,9820,810.0,790.0,554.0,207.0,,1789045.0,23.0,3.0,,1789045.0,4.0, ,
2023-02-17,,1101,台泥,9820,10293,790.0,814.0,890.0,391.0,26.0,1789045.0,15.0,46.0,7.0,1789045.0,, ,
2023-02-18,,1101,台泥,9820,10293,790.0,814.0,890.0,391.0,26.0,1789045.0,15.0,46.0,7.0,1789045.0,, ,
2023-02-20,,1101,台泥,10293,9983,814.0,793.0,343.0,647.0,6.0,1789045.0,52.0,35.0,4.0,1789045.0,, ,
2023-02-21,,1101,台泥,9983,10218,793.0,776.0,437.0,192.0,10.0,1789045.0,31.0,14.0,,1789045.0,, ,
2023-02-22,,1101,台泥,10218,10538,776.0,754.0,558.0,238.0,,1789045.0,23.0,3.0,2.0,1789045.0,, ,
2023-02-23,,1101,台泥,10538,10307,754.0,859.0,1211.0,1431.0,11.0,1789045.0,43.0,148.0,,1789045.0,8.0, ,
2023-02-24,,1101,台泥,10307,10186,859.0,821.0,458.0,570.0,9.0,1789045.0,45.0,7.0,,1789045.0,, ,
2023-02-25,,1101,台泥,10307,10186,859.0,821.0,458.0,570.0,9.0,1789045.0,45.0,7.0,,1789045.0,, ,
2023-02-27,,1101,台泥,10307,10186,859.0,821.0,458.0,570.0,9.0,1789045.0,45.0,7.0,,1789045.0,, ,
2023-02-28,,1101,台泥,10307,10186,859.0,821.0,458.0,570.0,9.0,1789045.0,45.0,7.0,,1789045.0,, ,
2023-03-01,,1101,台泥,10186,11473,821.0,743.0,1858.0,570.0,1.0,1789045.0,106.0,34.0,6.0,1789045.0,, ,
2023-03-02,,1101,台泥,11473,11970,743.0,748.0,748.0,242.0,9.0,1789045.0,42.0,47.0,,1789045.0,, ,
2023-03-03,,1101,台泥,11970,11845,748.0,699.0,235.0,348.0,12.0,1789045.0,52.0,3.0,,1789045.0,, ,
2023-03-04,,1101,台泥,11970,11845,748.0,699.0,235.0,348.0,12.0,1789045.0,52.0,3.0,,1789045.0,, ,
2023-03-06,,1101,台泥,11845,11787,699.0,687.0,201.0,259.0,,1789045.0,14.0,4.0,2.0,1789045.0,, ,
2023-03-07,,1101,台泥,11787,11681,687.0,639.0,155.0,260.0,1.0,1789045.0,48.0,,,1789045.0,, ,
2023-03-08,,1101,台泥,11681,11897,639.0,576.0,349.0,132.0,1.0,1789045.0,68.0,5.0,,1789045.0,, ,
2023-03-09,,1101,台泥,11897,11721,576.0,551.0,352.0,458.0,70.0,1789045.0,49.0,24.0,,1789045.0,, ,
2023-03-10,,1101,台泥,11721,11482,551.0,583.0,344.0,580.0,3.0,1789045.0,90.0,122.0,,1789045.0,1.0, ,
2023-03-11,,1101,台泥,11721,11482,551.0,583.0,344.0,580.0,3.0,1789045.0,90.0,122.0,,1789045.0,1.0, ,
2023-03-13,,1101,台泥,11482,11427,583.0,567.0,195.0,245.0,5.0,1789045.0,34.0,18.0,,1789045.0,4.0, ,
2023-03-14,,1101,台泥,11427,11703,567.0,549.0,351.0,75.0,,1789045.0,22.0,4.0,,1789045.0,1.0, ,
2023-03-15,,1101,台泥,11703,12107,549.0,544.0,599.0,194.0,1.0,1789045.0,4.0,3.0,4.0,1789045.0,, ,
2023-03-16,,1101,台泥,12107,11988,544.0,485.0,201.0,316.0,4.0,1789045.0,63.0,4.0,,1789045.0,, ,
2023-03-17,,1101,台泥,11988,12425,485.0,367.0,504.0,61.0,6.0,1789045.0,123.0,5.0,,1789045.0,, ,
2023-03-18,,1101,台泥,11988,12425,485.0,367.0,504.0,61.0,6.0,1789045.0,123.0,5.0,,1789045.0,, ,
2023-03-20,,1101,台泥,12425,12796,367.0,365.0,512.0,141.0,,1789045.0,7.0,5.0,,1789045.0,, ,
2023-03-21,,1101,台泥,12796,13050,365.0,345.0,530.0,274.0,2.0,1789045.0,26.0,6.0,,1789045.0,, ,
2023-03-22,,1101,台泥,13050,13047,345.0,378.0,165.0,154.0,14.0,1789045.0,41.0,81.0,7.0,1789045.0,, ,
2023-03-23,,1101,台泥,13047,13190,378.0,341.0,288.0,137.0,8.0,1789045.0,59.0,22.0,,1789045.0,,X ,
2023-03-24,,1101,台泥,13190,13226,341.0,10.0,334.0,296.0,2.0,1789045.0,299.0,,32.0,1789045.0,,X ,
2023-03-25,,1101,台泥,13190,13226,341.0,10.0,334.0,296.0,2.0,1789045.0,299.0,,32.0,1789045.0,,X ,
2023-03-27,,1101,台泥,13226,12961,10.0,,410.0,667.0,8.0,1789045.0,,,10.0,1789045.0,,X ,
2023-03-28,,1101,台泥,12961,13043,,,415.0,326.0,7.0,1789045.0,,,,1789045.0,,X ,
2023-03-29,,1101,台泥,13043,13116,,,203.0,126.0,4.0,1789045.0,,,,1789045.0,, ,
2023-03-30,,1101,台泥,13116,13241,,198.0,257.0,131.0,1.0,1789045.0,,198.0,,1789045.0,1.0, ,
2023-03-31,,1101,台泥,13241,13199,198.0,308.0,165.0,203.0,4.0,1789045.0,3.0,113.0,,1789045.0,, ,
2023-04-01,,1101,台泥,13241,13199,198.0,308.0,165.0,203.0,4.0,1789045.0,3.0,113.0,,1789045.0,, ,
2023-04-03,,1101,台泥,13241,13199,198.0,308.0,165.0,203.0,4.0,1789045.0,3.0,113.0,,1789045.0,, ,
2023-04-04,,1101,台泥,13241,13199,198.0,308.0,165.0,203.0,4.0,1789045.0,3.0,113.0,,1789045.0,, ,
2023-04-05,,1101,台泥,13241,13199,198.0,308.0,165.0,203.0,4.0,1789045.0,3.0,113.0,,1789045.0,, ,
2023-04-06,,1101,台泥,13199,13272,308.0,216.0,86.0,11.0,2.0,1789045.0,106.0,14.0,,1789045.0,, ,
2023-04-07,,1101,台泥,13272,13213,216.0,215.0,44.0,66.0,37.0,1789045.0,3.0,2.0,,1789045.0,, ,
2023-04-08,,1101,台泥,13272,13213,216.0,215.0,44.0,66.0,37.0,1789045.0,3.0,2.0,,1789045.0,, ,
2023-04-10,,1101,台泥,13213,13084,215.0,203.0,61.0,189.0,1.0,1789045.0,17.0,5.0,,1789045.0,, ,
2023-04-11,,1101,台泥,13084,13766,203.0,163.0,1177.0,493.0,2.0,1789045.0,46.0,8.0,2.0,1789045.0,5.0, ,
2023-04-12,,1101,台泥,13766,14020,163.0,163.0,720.0,459.0,7.0,1789045.0,7.0,7.0,,1789045.0,, ,
